"url","Label image","Label image_alt","Label image_link","Name link","Name link_link","Style value","Abv value","Ibu value","Num value 1","Raters value","Date value","Add link","Add link_link"
"https://untappd.com/toolshedbeer/beer","https://untappd.akamaized.net/site/beer_logos/beer-_312469_sm_3a9155050f1722fe6c098cb97b7001.jpeg","","https://untappd.com/b/tool-shed-brewing-company-red-rage/312469","Red Rage","https://untappd.com/b/tool-shed-brewing-company-red-rage/312469","Red Ale - American Amber / Red","5.6% ABV","32 IBU","(3.57)","2,004 Ratings","Added 02/16/13","Add","https://untappd.com/login?go_to=https://untappd.com//toolshedbeer/beer"
"https://untappd.com/toolshedbeer/beer","https://untappd.akamaized.net/site/beer_logos/beer-_325404_sm_ddebf61b02477ab37369a130000f31.jpeg","","https://untappd.com/b/tool-shed-brewing-company-people-skills/325404","People Skills","https://untappd.com/b/tool-shed-brewing-company-people-skills/325404","Cream Ale","5.2% ABV","17 IBU","(3.47)","1,999 Ratings","Added 03/12/13","Add","https://untappd.com/login?go_to=https://untappd.com//toolshedbeer/beer"
"https://untappd.com/toolshedbeer/beer","https://untappd.akamaized.net/site/beer_logos/beer-_325403_sm_7af0c11d6d922cf60ac65f906847bb.jpeg","","https://untappd.com/b/tool-shed-brewing-company-star-cheek/325403","Star Cheek","https://untappd.com/b/tool-shed-brewing-company-star-cheek/325403","IPA - American","6.2% ABV","70 IBU","(3.61)","1,754 Ratings","Added 03/12/13","Add","https://untappd.com/login?go_to=https://untappd.com//toolshedbeer/beer"
"https://untappd.com/toolshedbeer/beer","https://untappd.akamaized.net/site/beer_logos/beer-1368059_e69ce_sm.jpeg","","https://untappd.com/b/tool-shed-brewing-company-flat-cap-stout/1368059","Flat Cap Stout","https://untappd.com/b/tool-shed-brewing-company-flat-cap-stout/1368059","Stout - American","5.5% ABV","50 IBU","(3.8)","653 Ratings","Added 12/26/15","Add","https://untappd.com/login?go_to=https://untappd.com//toolshedbeer/beer"
"https://untappd.com/toolshedbeer/beer","https://untappd.akamaized.net/site/beer_logos/beer-1520480_f9230_sm.jpeg","","https://untappd.com/b/tool-shed-brewing-company-black-currant-gose/1520480","Black Currant Gose","https://untappd.com/b/tool-shed-brewing-company-black-currant-gose/1520480","Gose","4.7% ABV","N/A IBU","(3.55)","276 Ratings","Added 04/22/16","Add","https://untappd.com/login?go_to=https://untappd.com//toolshedbeer/beer"
"https://untappd.com/toolshedbeer/beer","https://untappd.akamaized.net/site/beer_logos/beer-1038947_9577f_sm.jpeg","","https://untappd.com/b/tool-shed-brewing-company-unite-red-ale/1038947","Unite Red Ale","https://untappd.com/b/tool-shed-brewing-company-unite-red-ale/1038947","Red Ale - American Amber / Red","4.6% ABV","N/A IBU","(3.5)","132 Ratings","Added 04/06/15","Add","https://untappd.com/login?go_to=https://untappd.com//toolshedbeer/beer"
"https://untappd.com/toolshedbeer/beer","https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png","","https://untappd.com/b/tool-shed-brewing-company-full-kount-kolsch/1450326","Full Kount Kolsch","https://untappd.com/b/tool-shed-brewing-company-full-kount-kolsch/1450326","Kölsch","5.2% ABV","N/A IBU","(3.48)","132 Ratings","Added 03/02/16","Add","https://untappd.com/login?go_to=https://untappd.com//toolshedbeer/beer"
"https://untappd.com/toolshedbeer/beer","https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png","","https://untappd.com/b/tool-shed-brewing-company-bourbon-barrel-flat-cap-stout-2016/1471911","Bourbon Barrel Flat Cap Stout (2016)","https://untappd.com/b/tool-shed-brewing-company-bourbon-barrel-flat-cap-stout-2016/1471911","Stout - Other","5.5% ABV","N/A IBU","(4.18)","30 Ratings","Added 03/18/16","Add","https://untappd.com/login?go_to=https://untappd.com//toolshedbeer/beer"
"https://untappd.com/toolshedbeer/beer","https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png","","https://untappd.com/b/tool-shed-brewing-company-cow-killa/1069609","Cow Killa","https://untappd.com/b/tool-shed-brewing-company-cow-killa/1069609","Red Ale - American Amber / Red","5.6% ABV","N/A IBU","(3.37)","23 Ratings","Added 05/02/15","Add","https://untappd.com/login?go_to=https://untappd.com//toolshedbeer/beer"
"https://untappd.com/toolshedbeer/beer","https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png","","https://untappd.com/b/tool-shed-brewing-company-unite-black-currant-gose/1606182","Unite Black Currant Gose","https://untappd.com/b/tool-shed-brewing-company-unite-black-currant-gose/1606182","Gose","4.7% ABV","N/A IBU","(3.38)","16 Ratings","Added 06/18/16","Add","https://untappd.com/login?go_to=https://untappd.com//toolshedbeer/beer"
